"","Year","Period","Geo Level","State","State ANSI","category","measurement","Value"
"22",2023,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED 10 YEAR AVG ","$ / CWT","120"
"23",2023,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ADJUSTED BASE ","$ / CWT","10.8"
"24",2023,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRODUCTION ","$","3,173,579,000"
"25",2023,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","22,382,200"
"26",2023,"YEAR","NATIONAL","US TOTAL",NA," NOT SOLD - PRODUCTION ","CWT","33,400"
"27",2023,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED 10 YEAR AVG FOR PARITY PURPOSES ","$ / TON","44.4"
"28",2023,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED 10 YEAR AVG ","$ / TON","44.4"
"29",2023,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ADJUSTED BASE ","$ / TON","4.05"
"30",2023,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRODUCTION ","$","225,364,000"
"31",2023,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","5,144,400"
"32",2023,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","CWT","27,526,600"
"33",2023,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","TONS","1,376,330"
"34",2023,"YEAR","STATE","CALIFORNIA","06"," ACRES HARVESTED",NA,"42,700"
"35",2023,"YEAR","STATE","CALIFORNIA","06"," ACRES PLANTED",NA,"43,100"
"36",2023,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","$","2,965,387,000"
"37",2023,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","CWT","24,600,000"
"38",2023,"YEAR","STATE","CALIFORNIA","06"," YIELD ","CWT / ACRE","575"
"39",2023,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRODUCTION ","$","(D)"
"40",2023,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
"41",2023,"YEAR","STATE","CALIFORNIA","06"," NOT SOLD - PRODUCTION ","CWT","24,600"
"42",2023,"YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRODUCTION ","$","(D)"
"43",2023,"YEAR","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
"44",2023,"YEAR","STATE","CALIFORNIA","06"," UTILIZED - PRODUCTION ","CWT","24,575,400"
"45",2023,"YEAR","STATE","FLORIDA","12"," ACRES HARVESTED",NA,"14,100"
"46",2023,"YEAR","STATE","FLORIDA","12"," ACRES PLANTED",NA,"14,200"
"47",2023,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","$","433,556,000"
"48",2023,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","CWT","2,960,000"
"49",2023,"YEAR","STATE","FLORIDA","12"," YIELD ","CWT / ACRE","210"
"50",2023,"YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRODUCTION ","$","(D)"
"51",2023,"YEAR","STATE","FLORIDA","12"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
"52",2023,"YEAR","STATE","FLORIDA","12"," NOT SOLD - PRODUCTION ","CWT","8,800"
"53",2023,"YEAR","STATE","FLORIDA","12"," PROCESSING - PRODUCTION ","$","(D)"
"54",2023,"YEAR","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
"55",2023,"YEAR","STATE","FLORIDA","12"," UTILIZED - PRODUCTION ","CWT","2,951,200"
"56",2023,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRODUCTION ","$","3,173,579,000"
"57",2023,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","22,382,200"
"58",2023,"YEAR","STATE","OTHER STATES",NA," NOT SOLD - PRODUCTION ","CWT","0"
"59",2023,"YEAR","STATE","OTHER STATES",NA," PROCESSING - PRODUCTION ","$","225,364,000"
"60",2023,"YEAR","STATE","OTHER STATES",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","5,144,400"
"61",2022,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PRICE RECEIVED ","$ / CWT","114"
"62",2022,"MARKETING YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","135"
"63",2022,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","27.1"
"64",2022,"MARKETING YEAR","STATE","CALIFORNIA","06"," PRICE RECEIVED ","$ / CWT","108"
"65",2022,"MARKETING YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
"66",2022,"MARKETING YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
"67",2022,"MARKETING YEAR","STATE","FLORIDA","12"," PRICE RECEIVED ","$ / CWT","169"
"68",2022,"MARKETING YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
"69",2022,"MARKETING YEAR","STATE","FLORIDA","12"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
"70",2022,"MARKETING YEAR","STATE","OTHER STATES",NA," PRICE RECEIVED ","$ / CWT","0"
"71",2022,"MARKETING YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","135"
"72",2022,"MARKETING YEAR","STATE","OTHER STATES",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","27.1"
"73",2022,"YEAR","NATIONAL","US TOTAL",NA," ACRES HARVESTED",NA,"56,300"
"74",2022,"YEAR","NATIONAL","US TOTAL",NA," ACRES PLANTED",NA,"56,400"
"75",2022,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","$","3,259,100,000"
"76",2022,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","CWT","28,520,000"
"77",2022,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","TONS","1,426,000"
"78",2022,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","CWT / ACRE","507"
"79",2022,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","TONS / ACRE","25.33"
"80",2022,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED 10 YEAR AVG FOR PARITY PURPOSES ","$ / CWT","116"
"81",2022,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED 10 YEAR AVG ","$ / CWT","116"
"82",2022,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRODUCTION ","$","3,112,100,000"
"83",2022,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","23,077,600"
"84",2022,"YEAR","NATIONAL","US TOTAL",NA," NOT SOLD - PRODUCTION ","CWT","25,700"
"85",2022,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED 10 YEAR AVG FOR PARITY PURPOSES ","$ / TON","43.5"
"86",2022,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED 10 YEAR AVG ","$ / TON","43.5"
"87",2022,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRODUCTION ","$","147,000,000"
"88",2022,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","5,416,700"
"89",2022,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","CWT","28,494,300"
"90",2022,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","TONS","1,424,715"
"91",2022,"YEAR","STATE","CALIFORNIA","06"," ACRES HARVESTED",NA,"43,500"
"92",2022,"YEAR","STATE","CALIFORNIA","06"," ACRES PLANTED",NA,"43,600"
"93",2022,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","$","2,781,768,000"
"94",2022,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","CWT","25,700,000"
"95",2022,"YEAR","STATE","CALIFORNIA","06"," YIELD ","CWT / ACRE","590"
"96",2022,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRODUCTION ","$","(D)"
"97",2022,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
"98",2022,"YEAR","STATE","CALIFORNIA","06"," NOT SOLD - PRODUCTION ","CWT","25,700"
"99",2022,"YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRODUCTION ","$","(D)"
"100",2022,"YEAR","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
"101",2022,"YEAR","STATE","CALIFORNIA","06"," UTILIZED - PRODUCTION ","CWT","25,674,300"
"102",2022,"YEAR","STATE","FLORIDA","12"," ACRES HARVESTED",NA,"12,800"
"103",2022,"YEAR","STATE","FLORIDA","12"," ACRES PLANTED",NA,"12,800"
"104",2022,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","$","477,332,000"
"105",2022,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","CWT","2,820,000"
"106",2022,"YEAR","STATE","FLORIDA","12"," YIELD ","CWT / ACRE","220"
"107",2022,"YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRODUCTION ","$","(D)"
"108",2022,"YEAR","STATE","FLORIDA","12"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
"109",2022,"YEAR","STATE","FLORIDA","12"," NOT SOLD - PRODUCTION ","CWT","0"
"110",2022,"YEAR","STATE","FLORIDA","12"," PROCESSING - PRODUCTION ","$","(D)"
"111",2022,"YEAR","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
"112",2022,"YEAR","STATE","FLORIDA","12"," UTILIZED - PRODUCTION ","CWT","2,820,000"
"113",2022,"YEAR","STATE","OTHER STATES",NA," ACRES HARVESTED",NA,"0"
"114",2022,"YEAR","STATE","OTHER STATES",NA," ACRES PLANTED",NA,"0"
"115",2022,"YEAR","STATE","OTHER STATES",NA," PRODUCTION ","$","0"
"116",2022,"YEAR","STATE","OTHER STATES",NA," PRODUCTION ","CWT","0"
"117",2022,"YEAR","STATE","OTHER STATES",NA," YIELD ","CWT / ACRE","0"
"118",2022,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRODUCTION ","$","3,112,100,000"
"119",2022,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","23,077,600"
"120",2022,"YEAR","STATE","OTHER STATES",NA," NOT SOLD - PRODUCTION ","CWT","0"
"121",2022,"YEAR","STATE","OTHER STATES",NA," PROCESSING - PRODUCTION ","$","147,000,000"
"122",2022,"YEAR","STATE","OTHER STATES",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","5,416,700"
"123",2022,"YEAR","STATE","OTHER STATES",NA," UTILIZED - PRODUCTION ","CWT","0"
"124",2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PRICE RECEIVED ","$ / CWT","129"
"125",2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","143"
"126",2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","64"
"127",2021,"MARKETING YEAR","STATE","CALIFORNIA","06"," PRICE RECEIVED ","$ / CWT","125"
"128",2021,"MARKETING YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
"129",2021,"MARKETING YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
"130",2021,"MARKETING YEAR","STATE","FLORIDA","12"," PRICE RECEIVED ","$ / CWT","160"
"131",2021,"MARKETING YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
"132",2021,"MARKETING YEAR","STATE","FLORIDA","12"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
"133",2021,"MARKETING YEAR","STATE","OTHER STATES",NA," PRICE RECEIVED ","$ / CWT","0"
"134",2021,"MARKETING YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","143"
"135",2021,"MARKETING YEAR","STATE","OTHER STATES",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","64"
"136",2021,"YEAR","NATIONAL","US TOTAL",NA," ACRES HARVESTED",NA,"52,500"
"137",2021,"YEAR","NATIONAL","US TOTAL",NA," ACRES PLANTED",NA,"52,500"
"138",2021,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","$","3,583,960,000"
"139",2021,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","CWT","27,930,000"
"140",2021,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","TONS","1,396,500"
"141",2021,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","CWT / ACRE","532"
"142",2021,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","TONS / ACRE","26.6"
"143",2021,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED 10 YEAR AVG ","$ / CWT","111"
"144",2021,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRODUCTION ","$","3,253,959,000"
"145",2021,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","22,697,900"
"146",2021,"YEAR","NATIONAL","US TOTAL",NA," NOT SOLD - PRODUCTION ","CWT","75,300"
"147",2021,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED 10 YEAR AVG ","$ / TON","44.1"
"148",2021,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRODUCTION ","$","330,001,000"
"149",2021,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","5,156,800"
"150",2021,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","CWT","27,854,700"
"151",2021,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","TONS","1,392,735"
"152",2021,"YEAR","STATE","CALIFORNIA","06"," ACRES HARVESTED",NA,"40,200"
"153",2021,"YEAR","STATE","CALIFORNIA","06"," ACRES PLANTED",NA,"40,200"
"154",2021,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","$","3,132,279,000"
"155",2021,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","CWT","25,100,000"
"156",2021,"YEAR","STATE","CALIFORNIA","06"," YIELD ","CWT / ACRE","625"
"157",2021,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRODUCTION ","$","(D)"
"158",2021,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
"159",2021,"YEAR","STATE","CALIFORNIA","06"," NOT SOLD - PRODUCTION ","CWT","75,300"
"160",2021,"YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRODUCTION ","$","(D)"
"161",2021,"YEAR","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
"162",2021,"YEAR","STATE","CALIFORNIA","06"," UTILIZED - PRODUCTION ","CWT","25,024,700"
"163",2021,"YEAR","STATE","FLORIDA","12"," ACRES HARVESTED",NA,"12,300"
"164",2021,"YEAR","STATE","FLORIDA","12"," ACRES PLANTED",NA,"12,300"
"165",2021,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","$","451,681,000"
"166",2021,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","CWT","2,830,000"
"167",2021,"YEAR","STATE","FLORIDA","12"," YIELD ","CWT / ACRE","230"
"168",2021,"YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRODUCTION ","$","(D)"
"169",2021,"YEAR","STATE","FLORIDA","12"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
"170",2021,"YEAR","STATE","FLORIDA","12"," NOT SOLD - PRODUCTION ","CWT","0"
"171",2021,"YEAR","STATE","FLORIDA","12"," PROCESSING - PRODUCTION ","$","(D)"
"172",2021,"YEAR","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
"173",2021,"YEAR","STATE","FLORIDA","12"," UTILIZED - PRODUCTION ","CWT","2,830,000"
"174",2021,"YEAR","STATE","OTHER STATES",NA," ACRES HARVESTED",NA,"0"
"175",2021,"YEAR","STATE","OTHER STATES",NA," ACRES PLANTED",NA,"0"
"176",2021,"YEAR","STATE","OTHER STATES",NA," PRODUCTION ","$","0"
"177",2021,"YEAR","STATE","OTHER STATES",NA," PRODUCTION ","CWT","0"
"178",2021,"YEAR","STATE","OTHER STATES",NA," YIELD ","CWT / ACRE","0"
"179",2021,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRODUCTION ","$","3,253,959,000"
"180",2021,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","22,697,900"
"181",2021,"YEAR","STATE","OTHER STATES",NA," NOT SOLD - PRODUCTION ","CWT","0"
"182",2021,"YEAR","STATE","OTHER STATES",NA," PROCESSING - PRODUCTION ","$","330,001,000"
"183",2021,"YEAR","STATE","OTHER STATES",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","5,156,800"
"184",2021,"YEAR","STATE","OTHER STATES",NA," UTILIZED - PRODUCTION ","CWT","0"
"185",2020,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PRICE RECEIVED ","$ / CWT","97.1"
"186",2020,"MARKETING YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","111"
"187",2020,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","38.1"
"188",2020,"MARKETING YEAR","STATE","CALIFORNIA","06"," PRICE RECEIVED ","$ / CWT","93.1"
"189",2020,"MARKETING YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
"190",2020,"MARKETING YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
"191",2020,"MARKETING YEAR","STATE","FLORIDA","12"," PRICE RECEIVED ","$ / CWT","139"
"192",2020,"MARKETING YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
"193",2020,"MARKETING YEAR","STATE","FLORIDA","12"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
"194",2020,"MARKETING YEAR","STATE","OTHER STATES",NA," PRICE RECEIVED ","$ / CWT","0"
"195",2020,"MARKETING YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","111"
"196",2020,"MARKETING YEAR","STATE","OTHER STATES",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","38.1"
"197",2020,"YEAR","NATIONAL","US TOTAL",NA," ACRES HARVESTED",NA,"49,300"
"198",2020,"YEAR","NATIONAL","US TOTAL",NA," ACRES PLANTED",NA,"49,700"
"199",2020,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","$","2,591,759,000"
"200",2020,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","CWT","26,740,000"
"201",2020,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","TONS","1,337,000"
"202",2020,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","CWT / ACRE","542"
"203",2020,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","TONS / ACRE","27.12"
"204",2020,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRODUCTION ","$","2,404,152,000"
"205",2020,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","21,756,400"
"206",2020,"YEAR","NATIONAL","US TOTAL",NA," NOT SOLD - PRODUCTION ","CWT","55,800"
"207",2020,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRODUCTION ","$","187,607,000"
"208",2020,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","4,927,800"
"209",2020,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","CWT","26,684,200"
"210",2020,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","TONS","1,334,210"
"211",2020,"YEAR","STATE","CALIFORNIA","06"," ACRES HARVESTED",NA,"37,600"
"212",2020,"YEAR","STATE","CALIFORNIA","06"," ACRES PLANTED",NA,"38,000"
"213",2020,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","$","2,267,175,000"
"214",2020,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","CWT","24,400,000"
"215",2020,"YEAR","STATE","CALIFORNIA","06"," YIELD ","CWT / ACRE","650"
"216",2020,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRODUCTION ","$","(D)"
"217",2020,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
"218",2020,"YEAR","STATE","CALIFORNIA","06"," NOT SOLD - PRODUCTION ","CWT","48,800"
"219",2020,"YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRODUCTION ","$","(D)"
"220",2020,"YEAR","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
"221",2020,"YEAR","STATE","CALIFORNIA","06"," UTILIZED - PRODUCTION ","CWT","24,351,200"
"222",2020,"YEAR","STATE","FLORIDA","12"," ACRES HARVESTED",NA,"11,700"
"223",2020,"YEAR","STATE","FLORIDA","12"," ACRES PLANTED",NA,"11,700"
"224",2020,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","$","324,584,000"
"225",2020,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","CWT","2,340,000"
"226",2020,"YEAR","STATE","FLORIDA","12"," YIELD ","CWT / ACRE","200"
"227",2020,"YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRODUCTION ","$","(D)"
"228",2020,"YEAR","STATE","FLORIDA","12"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
"229",2020,"YEAR","STATE","FLORIDA","12"," NOT SOLD - PRODUCTION ","CWT","7,000"
"230",2020,"YEAR","STATE","FLORIDA","12"," PROCESSING - PRODUCTION ","$","(D)"
"231",2020,"YEAR","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
"232",2020,"YEAR","STATE","FLORIDA","12"," UTILIZED - PRODUCTION ","CWT","2,333,000"
"233",2020,"YEAR","STATE","OTHER STATES",NA," ACRES HARVESTED",NA,"0"
"234",2020,"YEAR","STATE","OTHER STATES",NA," ACRES PLANTED",NA,"0"
"235",2020,"YEAR","STATE","OTHER STATES",NA," PRODUCTION ","$","0"
"236",2020,"YEAR","STATE","OTHER STATES",NA," PRODUCTION ","CWT","0"
"237",2020,"YEAR","STATE","OTHER STATES",NA," YIELD ","CWT / ACRE","0"
"238",2020,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRODUCTION ","$","2,404,152,000"
"239",2020,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","21,756,400"
"240",2020,"YEAR","STATE","OTHER STATES",NA," NOT SOLD - PRODUCTION ","CWT","0"
"241",2020,"YEAR","STATE","OTHER STATES",NA," PROCESSING - PRODUCTION ","$","187,607,000"
"242",2020,"YEAR","STATE","OTHER STATES",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","4,927,800"
"243",2020,"YEAR","STATE","OTHER STATES",NA," UTILIZED - PRODUCTION ","CWT","0"
"244",2019,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PRICE RECEIVED ","$ / CWT","115"
"245",2019,"MARKETING YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","130"
"246",2019,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","52.8"
"247",2019,"MARKETING YEAR","STATE","CALIFORNIA","06"," PRICE RECEIVED ","$ / CWT","110"
"248",2019,"MARKETING YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
"249",2019,"MARKETING YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
"250",2019,"MARKETING YEAR","STATE","FLORIDA","12"," PRICE RECEIVED ","$ / CWT","152"
"251",2019,"MARKETING YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
"252",2019,"MARKETING YEAR","STATE","FLORIDA","12"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
"253",2019,"MARKETING YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","130"
